NDIMENSIONS=3
NI=13
NJ=12
NK=5
x,y,z
0.842064,0.235702,0.235702
0.842064,0.393939,0.000000
0.842064,0.386370,0.076854
0.842064,0.363953,0.150754
0.842064,0.327549,0.218861
0.842064,0.278557,0.278557
0.842064,0.454545,0.000000
0.842064,0.445811,0.088677
0.842064,0.419945,0.173947
0.842064,0.377941,0.252532
0.842064,0.321412,0.321412
0.842064,0.515152,0.000000
0.842064,0.505253,0.100501
0.842064,0.475938,0.197140
0.842064,0.428333,0.286203
0.842064,0.364267,0.364267
0.842064,0.575758,0.000000
0.842064,0.564695,0.112325
0.842064,0.531931,0.220333
0.842064,0.478725,0.319874
0.842064,0.407122,0.407122
0.842064,0.636364,0.000000
0.842064,0.624136,0.124148
0.842064,0.587923,0.243526
0.842064,0.529117,0.353545
0.842064,0.449977,0.449977
0.842064,0.696970,0.000000
0.842064,0.683578,0.135972
0.842064,0.643916,0.266719
0.842064,0.579509,0.387216
0.842064,0.492832,0.492832
0.842064,0.757576,0.000000
0.842064,0.743019,0.147796
0.842064,0.699909,0.289912
0.842064,0.629901,0.420887
0.842064,0.535687,0.535687
0.842064,0.818182,0.000000
0.842064,0.802461,0.159619
0.842064,0.755901,0.313105
0.842064,0.680293,0.454557
0.842064,0.578542,0.578542
0.842064,0.878788,0.000000
0.842064,0.861902,0.171443
0.842064,0.811894,0.336298
0.842064,0.730685,0.488228
0.842064,0.621397,0.621397
0.842064,0.939394,0.000000
0.842064,0.921344,0.183267
0.842064,0.867887,0.359490
0.842064,0.781078,0.521899
0.842064,0.664252,0.664252
0.842064,1.000000,0.000000
0.842064,0.980785,0.195090
0.842064,0.923880,0.382683
0.842064,0.831470,0.555570
0.842064,0.707107,0.707107
1.000000,0.333333,0.000000
1.000000,0.326928,0.065030
1.000000,0.307960,0.127561
1.000000,0.277157,0.185190
1.000000,0.235702,0.235702
1.000000,0.393939,0.000000
1.000000,0.386370,0.076854
1.000000,0.363953,0.150754
1.000000,0.327549,0.218861
1.000000,0.278557,0.278557
1.000000,0.454545,0.000000
1.000000,0.445811,0.088677
1.000000,0.419945,0.173947
1.000000,0.377941,0.252532
1.000000,0.321412,0.321412
1.000000,0.515152,0.000000
1.000000,0.505253,0.100501
1.000000,0.475938,0.197140
1.000000,0.428333,0.286203
1.000000,0.364267,0.364267
1.000000,0.575758,0.000000
1.000000,0.564695,0.112325
1.000000,0.531931,0.220333
1.000000,0.478725,0.319874
1.000000,0.407122,0.407122
1.000000,0.636364,0.000000
1.000000,0.624136,0.124148
1.000000,0.587923,0.243526
1.000000,0.529117,0.353545
1.000000,0.449977,0.449977
1.000000,0.696970,0.000000
1.000000,0.683578,0.135972
1.000000,0.643916,0.266719
1.000000,0.579509,0.387216
1.000000,0.492832,0.492832
1.000000,0.757576,0.000000
1.000000,0.743019,0.147796
1.000000,0.699909,0.289912
1.000000,0.629901,0.420887
1.000000,0.535687,0.535687
1.000000,0.818182,0.000000
1.000000,0.802461,0.159619
1.000000,0.755901,0.313105
1.000000,0.680293,0.454557
1.000000,0.578542,0.578542
1.000000,0.878788,0.000000
1.000000,0.861902,0.171443
1.000000,0.811894,0.336298
1.000000,0.730685,0.488228
1.000000,0.621397,0.621397
1.000000,0.939394,0.000000
1.000000,0.921344,0.183267
1.000000,0.867887,0.359490
1.000000,0.781078,0.521899
1.000000,0.664252,0.664252
1.000000,1.000000,0.000000
1.000000,0.980785,0.195090
1.000000,0.923880,0.382683
1.000000,0.831470,0.555570
1.000000,0.707107,0.707107
1.177927,0.392832,0.000000
1.177927,0.385284,0.076638
1.177927,0.362929,0.150330
1.177927,0.326628,0.218246
1.177927,0.277774,0.277774
1.178382,0.448029,0.000000
1.178382,0.439420,0.087406
1.178382,0.413925,0.171453
1.178382,0.372523,0.248912
1.178382,0.316804,0.316804
1.178837,0.503226,0.000000
1.178837,0.493557,0.098175
1.178837,0.464920,0.192576
1.178837,0.418417,0.279578
1.178837,0.355835,0.355835
1.179292,0.558423,0.000000
1.179292,0.547693,0.108943
1.179292,0.515916,0.213699
1.179292,0.464312,0.310243
1.179292,0.394865,0.394865
1.179747,0.613620,0.000000
1.179747,0.601830,0.119711
1.179747,0.566911,0.234822
1.179747,0.510207,0.340909
1.179747,0.433895,0.433895
1.180202,0.668817,0.000000
1.180202,0.655966,0.130480
1.180202,0.617907,0.255945
1.180202,0.556101,0.371575
1.180202,0.472925,0.472925
1.180657,0.724015,0.000000
1.180657,0.710103,0.141248
1.180657,0.668902,0.277068
1.180657,0.601996,0.402241
1.180657,0.511956,0.511956
1.181112,0.779212,0.000000
1.181112,0.764239,0.152017
1.181112,0.719898,0.298191
1.181112,0.647891,0.432907
1.181112,0.550986,0.550986
1.181567,0.834409,0.000000
1.181567,0.818376,0.162785
1.181567,0.770893,0.319314
1.181567,0.693786,0.463573
1.181567,0.590016,0.590016
1.182022,0.889606,0.000000
1.182022,0.872512,0.173553
1.182022,0.821889,0.340437
1.182022,0.739680,0.494239
1.182022,0.629046,0.629046
1.182477,0.944803,0.000000
1.182477,0.926649,0.184322
1.182477,0.872884,0.361560
1.182477,0.785575,0.524904
1.182477,0.668077,0.668077
1.182932,1.000000,0.000000
1.182932,0.980785,0.195090
1.182932,0.923880,0.382683
1.182932,0.831470,0.555570
1.182932,0.707107,0.707107
1.500000,0.433333,0.000000
1.500000,0.425007,0.084539
1.500000,0.400348,0.165829
1.500000,0.360303,0.240747
1.500000,0.306413,0.306413
1.500000,0.484848,0.000000
1.500000,0.475532,0.094589
1.500000,0.447942,0.185543
1.500000,0.403137,0.269367
1.500000,0.342840,0.342840
1.500000,0.536364,0.000000
1.500000,0.526058,0.104639
1.500000,0.495535,0.205257
1.500000,0.445970,0.297988
1.500000,0.379266,0.379266
1.500000,0.587879,0.000000
1.500000,0.576583,0.114689
1.500000,0.543129,0.224971
1.500000,0.488803,0.326608
1.500000,0.415693,0.415693
1.500000,0.639394,0.000000
1.500000,0.627108,0.124740
1.500000,0.590723,0.244685
1.500000,0.531637,0.355228
1.500000,0.452120,0.452120
1.500000,0.690909,0.000000
1.500000,0.677633,0.134790
1.500000,0.638317,0.264399
1.500000,0.574470,0.383849
1.500000,0.488547,0.488547
1.500000,0.742424,0.000000
1.500000,0.728159,0.144840
1.500000,0.685911,0.284113
1.500000,0.617303,0.412469
1.500000,0.524973,0.524973
1.500000,0.793939,0.000000
1.500000,0.778684,0.154890
1.500000,0.733504,0.303827
1.500000,0.660136,0.441089
1.500000,0.561400,0.561400
1.500000,0.845455,0.000000
1.500000,0.829209,0.164940
1.500000,0.781098,0.323541
1.500000,0.702970,0.469709
1.500000,0.597827,0.597827
1.500000,0.896970,0.000000
1.500000,0.879735,0.174990
1.500000,0.828692,0.343255
1.500000,0.745803,0.498330
1.500000,0.634253,0.634253
1.500000,0.948485,0.000000
1.500000,0.930260,0.185040
1.500000,0.876286,0.362969
1.500000,0.788636,0.526950
1.500000,0.670680,0.670680
1.500000,1.000000,0.000000
1.500000,0.980785,0.195090
1.500000,0.923880,0.382683
1.500000,0.831470,0.555570
1.500000,0.707107,0.707107
1.822073,0.392832,0.000000
1.822073,0.385284,0.076638
1.822073,0.362929,0.150330
1.822073,0.326628,0.218246
1.822073,0.277774,0.277774
1.821618,0.448029,0.000000
1.821618,0.439420,0.087406
1.821618,0.413925,0.171453
1.821618,0.372523,0.248912
1.821618,0.316804,0.316804
1.821163,0.503226,0.000000
1.821163,0.493557,0.098175
1.821163,0.464920,0.192576
1.821163,0.418417,0.279578
1.821163,0.355835,0.355835
1.820708,0.558423,0.000000
1.820708,0.547693,0.108943
1.820708,0.515916,0.213699
1.820708,0.464312,0.310243
1.820708,0.394865,0.394865
1.820253,0.613620,0.000000
1.820253,0.601830,0.119711
1.820253,0.566911,0.234822
1.820253,0.510207,0.340909
1.820253,0.433895,0.433895
1.819798,0.668817,0.000000
1.819798,0.655966,0.130480
1.819798,0.617907,0.255945
1.819798,0.556101,0.371575
1.819798,0.472925,0.472925
1.819343,0.724015,0.000000
1.819343,0.710103,0.141248
1.819343,0.668902,0.277068
1.819343,0.601996,0.402241
1.819343,0.511956,0.511956
1.818888,0.779212,0.000000
1.818888,0.764239,0.152017
1.818888,0.719898,0.298191
1.818888,0.647891,0.432907
1.818888,0.550986,0.550986
1.818433,0.834409,0.000000
1.818433,0.818376,0.162785
1.818433,0.770893,0.319314
1.818433,0.693786,0.463573
1.818433,0.590016,0.590016
1.817978,0.889606,0.000000
1.817978,0.872512,0.173553
1.817978,0.821889,0.340437
1.817978,0.739680,0.494239
1.817978,0.629046,0.629046
1.817523,0.944803,0.000000
1.817523,0.926649,0.184322
1.817523,0.872884,0.361560
1.817523,0.785575,0.524904
1.817523,0.668077,0.668077
1.817068,1.000000,0.000000
1.817068,0.980785,0.195090
1.817068,0.923880,0.382683
1.817068,0.831470,0.555570
1.817068,0.707107,0.707107
2.000000,0.333333,0.000000
2.000000,0.326928,0.065030
2.000000,0.307960,0.127561
2.000000,0.277157,0.185190
2.000000,0.235702,0.235702
2.000000,0.393939,0.000000
2.000000,0.386370,0.076854
2.000000,0.363953,0.150754
2.000000,0.327549,0.218861
2.000000,0.278557,0.278557
2.000000,0.454545,0.000000
2.000000,0.445811,0.088677
2.000000,0.419945,0.173947
2.000000,0.377941,0.252532
2.000000,0.321412,0.321412
2.000000,0.515152,0.000000
2.000000,0.505253,0.100501
2.000000,0.475938,0.197140
2.000000,0.428333,0.286203
2.000000,0.364267,0.364267
2.000000,0.575758,0.000000
2.000000,0.564695,0.112325
2.000000,0.531931,0.220333
2.000000,0.478725,0.319874
2.000000,0.407122,0.407122
2.000000,0.636364,0.000000
2.000000,0.624136,0.124148
2.000000,0.587923,0.243526
2.000000,0.529117,0.353545
2.000000,0.449977,0.449977
2.000000,0.696970,0.000000
2.000000,0.683578,0.135972
2.000000,0.643916,0.266719
2.000000,0.579509,0.387216
2.000000,0.492832,0.492832
2.000000,0.757576,0.000000
2.000000,0.743019,0.147796
2.000000,0.699909,0.289912
2.000000,0.629901,0.420887
2.000000,0.535687,0.535687
2.000000,0.818182,0.000000
2.000000,0.802461,0.159619
2.000000,0.755901,0.313105
2.000000,0.680293,0.454557
2.000000,0.578542,0.578542
2.000000,0.878788,0.000000
2.000000,0.861902,0.171443
2.000000,0.811894,0.336298
2.000000,0.730685,0.488228
2.000000,0.621397,0.621397
2.000000,0.939394,0.000000
2.000000,0.921344,0.183267
2.000000,0.867887,0.359490
2.000000,0.781078,0.521899
2.000000,0.664252,0.664252
2.000000,1.000000,0.000000
2.000000,0.980785,0.195090
2.000000,0.923880,0.382683
2.000000,0.831470,0.555570
2.000000,0.707107,0.707107
2.157936,0.333333,0.000000
2.157936,0.326928,0.065030
2.157936,0.307960,0.127561
2.157936,0.277157,0.185190
2.157936,0.235702,0.235702
2.157936,0.393939,0.000000
2.157936,0.386370,0.076854
2.157936,0.363953,0.150754
2.157936,0.327549,0.218861
2.157936,0.278557,0.278557
2.157936,0.454545,0.000000
2.157936,0.445811,0.088677
2.157936,0.419945,0.173947
2.157936,0.377941,0.252532
2.157936,0.321412,0.321412
2.157936,0.515152,0.000000
2.157936,0.505253,0.100501
2.157936,0.475938,0.197140
2.157936,0.428333,0.286203
2.157936,0.364267,0.364267
2.157936,0.575758,0.000000
2.157936,0.564695,0.112325
2.157936,0.531931,0.220333
2.157936,0.478725,0.319874
2.157936,0.407122,0.407122
2.157936,0.636364,0.000000
2.157936,0.624136,0.124148
2.157936,0.587923,0.243526
2.157936,0.529117,0.353545
2.157936,0.449977,0.449977
2.157936,0.696970,0.000000
2.157936,0.683578,0.135972
2.157936,0.643916,0.266719
2.157936,0.579509,0.387216
2.157936,0.492832,0.492832
2.157936,0.757576,0.000000
2.157936,0.743019,0.147796
2.157936,0.699909,0.289912
2.157936,0.629901,0.420887
2.157936,0.535687,0.535687
2.157936,0.818182,0.000000
2.157936,0.802461,0.159619
2.157936,0.755901,0.313105
2.157936,0.680293,0.454557
